text,entity,score,date,annotator_comment,general_location,specific_location,year,season,month,day,Coordinates
From its base a steep snow slope and smoother ice.,"snow, ice",7.0,Spring 1895,,Ben Nevis,Tower Ridge,1895.0,Spring,,,"(56.796735, -5.002927)"
the accumulation of snow in winter and spring causes a dampness of the floor which demands a remedy of a more permanent character than can be applied by a casual visitor.,"snow, winter, spring",4.0,Winter 1895,,Cairngorms Other,,1895.0,Winter,,,"(57.09969, -3.6656)"
"the avalanche spread itself all over the talus at the head of the loch, only the extreme softness of the snow preventing its finding a bed on the loch.","avalanche, snow",8.0,-/01/1896,,Lochnagar,Lochnagar,1896.0,,1.0,,"(56.954291, -3.244078)"
the loch reposed under a covering of ice.,ice,7.0,-/01/1896,,Lochnagar,Lochnagar,1896.0,,1.0,,"(56.954291, -3.244078)"
"Great lines of snow filled the rocky gullies of the eastern corrie, and the Cac Carn Beag overlooked, with shrouded dignity, the strath of the Dee.",snow,9.0,-/01/1896,,Lochnagar,Lochnagar,1896.0,,1.0,,"(56.954291, -3.244078)"
we found that at least one half of the snow had disappeared—most probably in a similar manner to what we had witnessed the previous day.,snow,4.0,-/01/1896,,Lochnagar,Lochnagar,1896.0,,1.0,,"(56.954291, -3.244078)"
"the sheltering snow protected the spring, with the result that the temperature of the water was warmer than anticipated",snow,7.0,-/01/1896,,Lochnagar,Lochnagar,1896.0,,1.0,,"(56.954291, -3.244078)"
"There seemed to be occasional falls of snow, and soon the prospect was obscured by mist.",snow,4.0,-/01/1896,,Lochnagar,Lochnagar,1896.0,,1.0,,"(56.954291, -3.244078)"
"admiring the appearance of the snow-clad crags, and observing with considerable interest the points where the avalanches had started.","snow, avalanche",8.0,-/01/1896,,Lochnagar,Lochnagar,1896.0,,1.0,,"(56.954291, -3.244078)"
"the path was mostly filled up with snow, here and there concealing ice.","snow, ice",5.0,-/01/1896,,Lochnagar,Lochnagar,1896.0,,1.0,,"(56.954291, -3.244078)"
"the angle of which soon rose from 30° to 50°. At the top, where an overhanging snow-cornice had to be cut away, the angle increased to between 70° and 80°.",snow-cornice,7.0,-/01/1896,,Lochnagar,Lochnagar,1896.0,,1.0,,"(56.954291, -3.244078)"
"All the Mamore peaks were capped with white quartz also, except Mullach nan Coirean, the most western, and its corrie (Coire Dearg) which are red.","capped, white",6.0,-/05/1896,,Central Highlands,Mamores,1896.0,,5.0,,"(56.949668, -4.608764)"
we indulged in a second edition of lunch on a patch of snow situated in a most desolate hollow between Stob Choire Claungh and its shoulder.,patch of snow,6.0,-/05/1896,,Central Highlands,Stob Choire Claurigh,1896.0,,5.0,,"(56.949668, -4.608764)"
"Crawling under a snow-wreath, we proceeded to gain further supplies of chemical potential energy.",snow,7.0,-/05/1896,,Ben Nevis,Aonach Beag,1896.0,,5.0,,"(56.796735, -5.002927)"
"best of all was Bidean nam Bian, in Glencoe, with its many streaks of snow.",snow,7.0,-/05/1896,,Central Highlands,Bidean nam Bian,1896.0,,5.0,,"(56.949668, -4.608764)"
I was surprised at the amount of snow that still remained on the hills.,snow,7.0,-/05/1896,,Eastern Highlands,Glen Spean,1896.0,,5.0,,"(57.194888, -3.281276)"
"I found the top of Ben Nevis enjoying its summer in thick mist, sleet, and snow, with half a gale of wind.","snow, sleet",7.0,19/06/1896,,Ben Nevis,Ben Nevis,1896.0,,6.0,19.0,"(56.796735, -5.002927)"
As there was a large cornice I could not get near enough to the edge to examine the rocky walls from above.,cornice,6.0,24/06/1896,,Ben Nevis,Ben Nevis,1896.0,,6.0,24.0,"(56.796735, -5.002927)"
"The black precipices on the opposite side of the corrie were over modest, and would only allow me to see their wet, black feet, though here and there a glimmer of white could be seen higher up.",none,5.0,24/06/1896,,Ben Nevis,Ben Nevis,1896.0,,6.0,24.0,"(56.796735, -5.002927)"
During the remainder of the descent it was interesting to note the snow squalls flying along the southern ridge of Glen Nevis.,snow,5.0,24/06/1896,,Ben Nevis,Ben Nevis,1896.0,,6.0,24.0,"(56.796735, -5.002927)"
I now took to the snow slopes and made straight for the ridge.,snow,7.0,24/06/1896,,Ben Nevis,Ben Nevis,1896.0,,6.0,24.0,"(56.796735, -5.002927)"
"The snow was very soft, and a strong wind that it was impossible to face swept across the southern slopes of Ben Nevis.","soft, snow",4.0,24/06/1896,,Ben Nevis,Ben Nevis,1896.0,,6.0,24.0,"(56.796735, -5.002927)"
"Ben Dearg (3547) (still snow-patched), and Ben Wyvis (3429).",snow-patched,6.0,-/07/1896,,North West Highlands,Ben Dearg,1896.0,,7.0,,"(57.190786, -5.158042)"
"Fresh snow was lying on the hills from a height of about 2000 feet, and at a depth of several feet where it had been blown into wreaths.","fresh, snow",8.0,28/09/1896,,Ben Macdui,Ben Macdui,1896.0,,9.0,28.0,"(57.070696, -3.667715)"
"the cairn of the Ben, which was crusted over with ice",ice,6.0,28/09/1896,,Ben Macdui,Ben Macdui,1896.0,,9.0,28.0,"(57.070696, -3.667715)"
"from the track up Coire Dhonndail perhaps the finest view of the Sgòran Dubh is to be obtained, heightened in effective detail by a sprinkling of snow.",snow,7.0,-/10/1896,,Ben Macdui,Ben Macdui,1896.0,,10.0,,"(57.070696, -3.667715)"
"...in October last, in detestible weather—snow-drift and sleet—we encountered a far-travelled mouse vainly seeking shelter.","snow, sleet",2.0,-/10/1896,,Ben Macdui,Ben Macdui,1896.0,,10.0,,"(57.070696, -3.667715)"
in detestible weather—snow-drift and sleet—we encountered a far-travelled mouse vainly seeking shelter.,"snow, sleet",3.0,-/10/1896,,Ben Macdui,Ben Macdui,1896.0,,10.0,,"(57.070696, -3.667715)"
the first snow was encountered,"first, snow",7.0,08/11/1896,,Ben Nevis,Ben Nevis,1896.0,,11.0,8.0,"(56.796735, -5.002927)"
the lochan itself was almost frozen over,frozen,6.0,08/11/1896,,Ben Nevis,Ben Nevis,1896.0,,11.0,8.0,"(56.796735, -5.002927)"
"the average depth of snow on the top was, they told us, 17 inches, but in some places it was blown to a much greater depth than this.",snow,8.0,08/11/1896,,Ben Nevis,Ben Nevis,1896.0,,11.0,8.0,"(56.796735, -5.002927)"
"we found the snow begin to harden, and the angle of ascent to increase to such a degree that the rope became essential for safety",snow,7.0,08/11/1896,,Ben Nevis,Ben Nevis,1896.0,,11.0,8.0,"(56.796735, -5.002927)"
"the snow, or rather ice, was, to use the words of our hard-working leader, ""as hard as adamant""","snow, ice",5.0,08/11/1896,,Ben Nevis,Ben Nevis,1896.0,,11.0,8.0,"(56.796735, -5.002927)"
"Ben Muich Dhui with its accustomed snowy mantle, on the Feitli Buidhe above Loch Avon",snowy,9.0,Summer 1896,,Ben Macdui,Ben Macdui,1896.0,Summer,,,"(57.070696, -3.667715)"
"we encountered extensive patches of snow on Mount Battock itself; but, on the whole, we found walking across snow a much easier and more expeditious way of reaching the top than clambering over grass and heather.","patches, snow",8.0,27/03/1897,,Eastern Highlands,Mount Battock,1897.0,,3.0,27.0,"(57.194888, -3.281276)"
"no jump was required to reach the surface of the snow from the roof, and the summer hotel was invisible.",snow,6.0,07/04/1897,,Ben Nevis,Ben Nevis,1897.0,,4.0,7.0,"(56.796735, -5.002927)"
...being completely shrouded in snow.,"shrouded, snow",8.0,10/04/1897,,Eastern Highlands,Ben Rinnes,1897.0,,4.0,10.0,"(57.194888, -3.281276)"
the crests and ridges finely picked out in snow-lines,snow,8.0,10/04/1897,,North West Highlands,Ross-shire,1897.0,,4.0,10.0,"(57.190786, -5.158042)"
Beyond it snow-covered ridges rose in profusion;,snow-covered,7.0,10/04/1897,,Eastern Highlands,Ben Rinnes,1897.0,,4.0,10.0,"(57.194888, -3.281276)"
"The snow was unbroken and apparently deep, but not carrying, and the going was comparatively heavy.","deep, snow",4.0,17/04/1897,,Glenshee Area,Glas Maol,1897.0,,4.0,17.0,"(56.876858, -3.373544)"
"the snow was unbroken and apparently deep, but not carrying, and the going was comparatively heavy.","deep, snow",4.0,17/04/1897,,Glenshee Area,Glas Maol,1897.0,,4.0,17.0,"(56.876858, -3.373544)"
"the gully to the north-west was a very fine sight, with its deep ravine slopes and heavy snow cornice.","heavy, snow, cornice",8.0,17/04/1897,,Glenshee Area,Glas Maol,1897.0,,4.0,17.0,"(56.876858, -3.373544)"
"the snow was the top (3860) was reached without difficulty, agreeably hard, and except a very high wind and drifting snow and hail.","drifting, snow",6.0,18/04/1897,,Beinn a' Bhuird & Ben Avon,Beinn a'Bhuird,1897.0,,4.0,18.0,"(57.081248, -3.505238)"
"we are again on the snow, and when the ridge is gained, the sight of the loch marked in the Ordnance map gives assurance that the right track has been kept.",snow,6.0,19/04/1897,,Glenshee Area,Beinn Iutharn Mhor,1897.0,,4.0,19.0,"(56.876858, -3.373544)"
a beautiful cornice adorned the summit of the ridge,cornice,8.0,-/04/1897,,Ben Lawers,Ben Lawers,1897.0,,4.0,,"(56.544874, -4.22093)"
"How charming it was to sit on the dry, powdery snow on a sun-exposed slope.","dry, powdery, snow",9.0,-/04/1897,,Ben Nevis,Ben Nevis,1897.0,,4.0,,"(56.796735, -5.002927)"
"the weather was stormy, with much fresh snow.","fresh, snow",7.0,-/04/1897,,Ben Nevis,Ben Nevis,1897.0,,4.0,,"(56.796735, -5.002927)"
"All the springs were frozen or deeply buried in snow, which does not itself seem intended by Nature to answer the purpose of a beverage.","frozen, snow",3.0,-/04/1897,,Ben Lawers,Ben Lawers,1897.0,,4.0,,"(56.544874, -4.22093)"
"we now crossed the shoulder of the mountain, and presently found ourselves working along a fairly steep slope of frozen snow, streaked here and there with bands of ice.","frozen, snow, ice",7.0,-/04/1897,,Ben Lawers,Ben Lawers,1897.0,,4.0,,"(56.544874, -4.22093)"
"we were now on the south-east face of Ben Lawers' pyramid-shaped top. This was covered with ice-hard snow, down which we had rather a difficult scramble, using our ice-axes as temporary anchors at every step.","ice-hard, snow",6.0,-/04/1897,,Ben Lawers,Ben Lawers,1897.0,,4.0,,"(56.544874, -4.22093)"
"As our destination was Killin, not Lawers Hotel, we now took a somewhat oblique course to the south-west; and, leaving the snow behind us about the 2000 feet level, we struck at 1.45 the Allt an Tuim Bhric, a picturesque mountain torrent which comes brawling down the hill-side from its birthplace in the huge corrie between Lawers and Beinn Ghlas.",snow,4.0,-/04/1897,,Ben Lawers,Ben Lawers,1897.0,,4.0,,"(56.544874, -4.22093)"
"through a rift in the mist there loomed ahead of us, on the far side of a cup-like depression deeply filled with driven snow, a point still higher, and towards this we now ploughed our way;",snow,7.0,-/04/1897,,Ben Lawers,Ben Lawers,1897.0,,4.0,,"(56.544874, -4.22093)"
"I had scarcely gone a dozen yards when the ice-axe stuck fast in the snow, and away I rattled merrily—or the reverse—down the steep incline without its restraining influence.",snow,6.0,-/04/1897,,Ben Lawers,Ben Lawers,1897.0,,4.0,,"(56.544874, -4.22093)"
"we now struggled on up the steep snow slope, keeping as nearly as possible in the direction of the top of the mountain.",snow,6.0,-/04/1897,,Ben Lawers,Ben Lawers,1897.0,,4.0,,"(56.544874, -4.22093)"
"the snow became deeper and softer, and we found ourselves enveloped in mist.",snow,6.0,-/04/1897,,Ben Lawers,Ben Lawers,1897.0,,4.0,,"(56.544874, -4.22093)"
"the snow-clad summits of Meall Garbh and Meall Gruaidh were touched with mist which rolled from east to west along their ridge, and their multitude of streams, sun.",snow,8.0,-/04/1897,,Ben Lawers,"Meall Garbh, Meall Gruaidh",1897.0,,4.0,,"(56.544874, -4.22093)"
"each with its mantle of snow, cloud and sunbeam vying with each other for dominion over their summits.",snow,8.0,-/04/1897,,Cairngorms Other,Beinn Bhreac,1897.0,,4.0,,"(57.09969, -3.6656)"
"the heavy plumps always coming down during the thaws which every now and then make life so disagreeable on the summit. Hence the greatest depth of snow on the summit, as recorded in The Scotsman and other newspapers—occurring generally in April—varies according to the nature of the winter from 7 to 12 feet only.","snow, depth",7.0,-/04/1897,,Ben Nevis,Ben Nevis,1897.0,,4.0,,"(56.796735, -5.002927)"
"the multitude of streams, to ice, glistened in the morning sun. Those two rocky heights, together with the great Ben Lawers towering above us to the south-west, formed one vast corrie white with snow, a huge half-circle of rocky precipices, with the lonely Loch of the Wild Cat lying frozen and dreary, imprisoned in their bleak and barren solitudes.","snow, frozen",5.0,-/04/1897,,Ben Lawers,Ben Lawers,1897.0,,4.0,,"(56.544874, -4.22093)"
"formed one vast corrie white with snow, a huge half-circle of rocky precipices, with the lonely Loch of the Wild Cat lying frozen and dreary, imprisoned in their bleak and barren solitudes.","snow, frozen",7.0,-/04/1897,,Ben Lawers,Ben Lawers,1897.0,,4.0,,"(56.544874, -4.22093)"
"About the 2000 feet line we came upon our first large snow-patch, and here we halted moments to rest, and to study the prospect that lay behind us.","snow, patch",6.0,-/04/1897,,Ben Lawers,Ben Lawers,1897.0,,4.0,,"(56.544874, -4.22093)"
"mist hovered over the snow-capped summit of Ben Lawers, and, as we sat at breakfast discussing our route, a brief but heavy shower of snow from the east spread a carpet of white over the foreground of the picture which was visible from the hotel window.","snow, snow-capped",8.0,-/04/1897,,Ben Lawers,Ben Lawers,1897.0,,4.0,,"(56.544874, -4.22093)"
the brilliant sunlight on the snow-clad slopes to west of us.,snow-clad,9.0,-/04/1897,,Ben Lawers,Ben Lawers,1897.0,,4.0,,"(56.544874, -4.22093)"
"Retracing our steps almost to the top of the hill, at 1.5 we recrossed the snow-filled hollow already alluded to, catching as we did so a momentary glimpse of the dark waters of Loch Tay far below us to the south; but almost before we had time to recognise it the mist closed again.",snow-filled,5.0,-/04/1897,,Ben Lawers,Ben Lawers,1897.0,,4.0,,"(56.544874, -4.22093)"
"the weather was quite blizzardous. The Clach was, however, reached, but there was little to be seen—only an occasional glimpse of the snow-lined corries of Beinn a' Bhuird.","blizzardous, snow",6.0,02/05/1897,,Beinn a' Bhuird & Ben Avon,Beinn a' Bhuird,1897.0,,5.0,2.0,"(57.081248, -3.505238)"
"the path from Glen Derry was inaccessible, being blocked with snow.","blocked, snow",2.0,22/06/1897,,Cairngorms Other,Glen Derry,1897.0,,6.0,22.0,"(57.09969, -3.6656)"
the burn was followed all the way to its sources—enormous fields of unbroken snow—and the cairn of Ben Muich Dhui reached at 7'30.,snow,9.0,22/06/1897,,Ben Macdui,Ben Macdui,1897.0,,6.0,22.0,"(57.070696, -3.667715)"
running along the long snow slope of the Garbh Uisge,snow,7.0,22/06/1897,,Ben Macdui,Ben Macdui,1897.0,,6.0,22.0,"(57.070696, -3.667715)"
"the upper part of which was covered with snow, while the lower was soaked with water—a description applicable to most of the corries visited later in the day.",snow,7.0,22/06/1897,,Cairngorms Other,Cairngorm,1897.0,,6.0,22.0,"(57.09969, -3.6656)"
there was no Well to be seen; nothing but a great field of snow.,snow,8.0,22/06/1897,,Cairngorms Other,Cairngorm,1897.0,,6.0,22.0,"(57.09969, -3.6656)"
"Cairn- gorm was a beautiful sight; at seven its three great corries were quite clear of mist, and dazzlingly white with snow patches.","snow, patches",8.0,22/06/1897,,Cairngorms Other,Cairngorm,1897.0,,6.0,22.0,"(57.09969, -3.6656)"
enormous fields of unbroken snow,"unbroken, snow",8.0,22/06/1897,,Ben Macdui,Ben Macdui,1897.0,,6.0,22.0,"(57.070696, -3.667715)"
"we again get a glimpse of Carn Mor's fields of snow—only a glimpse, blotted out by massive rolling cloud columns and the swish of rain.",fields of snow,6.0,-/06/1897,,Other Highlands,Carn Mor,1897.0,,6.0,,
They got down again—a more difficult feat—by retracing the footsteps they had made in snow during the ascent.,snow,7.0,-/06/1897,,Ben Macdui,Ben Macdui,1897.0,,6.0,,"(57.070696, -3.667715)"
"the surface of the snow sometimes swarms with small black insects, chiefly coleoptera and aphides.",snow,6.0,-/06/1897,,Ben Nevis,Ben Nevis,1897.0,,6.0,,"(56.796735, -5.002927)"
"A bonfire on Ben Nevis was lighted on Coronation Day—""amidst snow and sleet"", the report said.",snow,5.0,08/07/1897,,Ben Nevis,Ben Nevis,1897.0,,7.0,8.0,"(56.796735, -5.002927)"
where the snow-wreath lies deep and lingers long.,"deep, snow",8.0,12/07/1897,,Ben Macdui,Ben Macdui,1897.0,,7.0,12.0,"(57.070696, -3.667715)"
drinking of the ice-cold Apolinaris plentifully flowing from underneath the snow,snow,9.0,12/07/1897,,Ben Macdui,Ben Macdui,1897.0,,7.0,12.0,"(57.070696, -3.667715)"
"At half-past four afternoon we began the return march southwards, keeping to the west of the spring which flows into the Coire nan Saibhlean, where the snow-wreath lies deep and lingers long.","snow, deep",8.0,12/07/1897,,Ben Macdui,Ben Macdui,1897.0,,7.0,12.0,"(57.070696, -3.667715)"
"at length, at a height of 3753 feet, a small, sandy-bottomed tarn, at the foot of a large snow-slope, offers on its grassy shore a tempting lunching-place.",snow-slope,8.0,12/07/1897,,Ben Macdui,Ben Macdui,1897.0,,7.0,12.0,"(57.070696, -3.667715)"
"the driving sleet, made a sharp look-out difficult.",sleet,4.0,25/07/1897,,Central Highlands,Ben Alder,1897.0,,7.0,25.0,"(56.949668, -4.608764)"
"Far to the south a glimpse was got of the Cairngorms, still heavily patched with snow.","patched, snow",6.0,-/07/1897,,Cairngorms Other,Cairngorms,1897.0,,7.0,,"(57.09969, -3.6656)"
"the other snow-clad peaks around me still looked cold and forbidding, untouched by the warm sun;",snow,4.0,-/09/1897,,Ben Nevis,Ben Nevis,1897.0,,9.0,,"(56.796735, -5.002927)"
I observed the white snow on the summit turned to the most delicate pink.,snow,8.0,-/09/1897,,Ben Nevis,Ben Nevis,1897.0,,9.0,,"(56.796735, -5.002927)"
"the snow was never off the summit, frost was frequent, and the mean temperature was just a trifle above freezing point","snow, frost",7.0,-/09/1897,,Ben Nevis,Ben Nevis,1897.0,,9.0,,"(56.796735, -5.002927)"
the summit and for a considerable distance down the hillside was white with snow,"white, snow",8.0,-/09/1897,,Ben Nevis,Ben Nevis,1897.0,,9.0,,"(56.796735, -5.002927)"
"its whole face, as I saw it from a spur of the Ben opposite to it, presented a weird and Arctic appearance. Alternate snow, thaw, and frozen fog had transformed its face into a white sheet, relieved in its monotony by gigantic icicles and huge light green slabs of ice, all shining dazzlingly in the bright sunshine.","snow, frozen, ice",9.0,17/10/1897,,Ben Nevis,Ben Nevis,1897.0,,10.0,17.0,"(56.796735, -5.002927)"
"the soft, fresh-fallen snow was blown in blinding, swirling sheets of drift all round me",snow,6.0,21/10/1897,end of october,Ben Nevis,Ben Nevis,1897.0,,10.0,21.0,"(56.796735, -5.002927)"
"I found myself on a much harder snow-slope, where I slipped my foot, fell on my back, and slid.",snow,5.0,-/10/1897,,Ben Nevis,Ben Nevis,1897.0,,10.0,,"(56.796735, -5.002927)"
I had to cut steps all the way up the slope until I reached the soft snow again.,snow,7.0,-/10/1897,,Ben Nevis,Ben Nevis,1897.0,,10.0,,"(56.796735, -5.002927)"
"as I was sliding quicker and quicker, wildly trying to plunge my ice axe into the hard surface to check myself, I espied right in my course the providential jagged top of a narrow rock sticking up above the snow.","snow, ice",6.0,-/10/1897,,Ben Nevis,Ben Nevis,1897.0,,10.0,,"(56.796735, -5.002927)"
Ben Nevis alone of Scottish peaks kept its head above the snowy billows,snow,7.0,23/11/1897,,Ben Nevis,Ben Nevis,1897.0,,11.0,23.0,"(56.796735, -5.002927)"
the snow disappeared quickly by evaporation.,snow,3.0,23/11/1897,,Ben Nevis,Ben Nevis,1897.0,,11.0,23.0,"(56.796735, -5.002927)"
the path was covered with snow.,snow,5.0,23/11/1897,,Ben Nevis,Ben Nevis,1897.0,,11.0,23.0,"(56.796735, -5.002927)"
the boulders were showing through the snow on the summit—an unusual occurrence for the time of year.,snow,4.0,01/12/1897,,Ben Nevis,Ben Nevis,1897.0,,12.0,1.0,"(56.796735, -5.002927)"
"At the Summit Station, where frost, drifting snow, and frozen fogs clog and form huge accretions on all outside instruments exposed for long to the weather during nine months out of the twelve, automatic registration, with its delicate apparatus, was very soon found to be out of the question, and the more laborious, though almost as satisfactory, method of hourly observations, night and day, was resorted to, and that has been the daily routine now for fifteen years.","frost, drifting snow, frozen",8.0,1897,,Ben Nevis,Ben Nevis,1897.0,,,,"(56.796735, -5.002927)"
"At the top of the ridge I crouched behind a friendly rock and lunched, eating freely of ice feathers to quench thirst.",ice,6.0,Spring 1897,,Cairngorms Western Massif,Braeriach,1897.0,Spring,,,"(57.066582, -3.732339)"
I now approached the ice-looking snow.,"ice-looking, snow",6.0,Spring 1897,,Cairngorms Western Massif,Braeriach,1897.0,Spring,,,"(57.066582, -3.732339)"
"there has only been one month since the Observatory opened in which snow has not fallen, and in which the temperature has not at some time or other fallen below freezing point.",snow,9.0,1897,,Ben Nevis,Ben Nevis,1897.0,,,,"(56.796735, -5.002927)"
"I drove my stick deeply into the snow at each step forward, and turned it like a pointsman's lever, thinking to make tracts that I could follow on my return.",snow,5.0,Spring 1897,,Cairngorms Western Massif,Braeriach,1897.0,Spring,,,"(57.066582, -3.732339)"
"I found the doubtful snow perfectly safe and easy to walk on; and, as it was only about mid-day, I decided to go some distance towards the summit.",snow,8.0,Spring 1897,,Cairngorms Western Massif,Braeriach,1897.0,Spring,,,"(57.066582, -3.732339)"
"I came to the snow at about the 2500 feet contour, and was well pleased to find it smooth and firm, giving an excellent surface to walk on.",snow,9.0,Spring 1897,,Cairngorms Western Massif,Braeriach,1897.0,Spring,,,"(57.066582, -3.732339)"
I decided to go some distance towards the summit and see what the snow was like on the great plateau.,snow,7.0,Spring 1897,,Cairngorms Western Massif,Braeriach,1897.0,Spring,,,"(57.066582, -3.732339)"
"fresh snow covered up all my painfully-made marks, and I was without guidance to the top of my ridge.",snow,4.0,Spring 1897,,Cairngorms Western Massif,Braeriach,1897.0,Spring,,,"(57.066582, -3.732339)"
"In the lower parts of the snow I found softer places, and once went through.",snow,4.0,Spring 1897,,Cairngorms Western Massif,Braeriach,1897.0,Spring,,,"(57.066582, -3.732339)"
"Again, a little later, I saw another snow cornice, and recognised by just as I was about to rejoice over this, the air was filled with dense, driving snow.","snow, cornice",5.0,Spring 1897,,Cairngorms Western Massif,Braeriach,1897.0,Spring,,,"(57.066582, -3.732339)"
"I perceived the snow cornice overhanging the Garbh Coire, and I knew that I had not borne enough to the left.","snow, cornice",8.0,Spring 1897,,Cairngorms Western Massif,Braeriach,1897.0,Spring,,,"(57.066582, -3.732339)"
"the roof being flat and the wind nearly always fairly strong, snow does not lie deeply on the roof, but gets blown off, and collects all round the house. Also, if the snow is drifting badly, the main entrance gets completely blocked, and it is useless attempting to clear it till the weather changes, as the snow drifts in quicker than it can be shovelled out.","snow, drifting",6.0,1897,,Ben Nevis,Ben Nevis,1897.0,,,,"(56.796735, -5.002927)"
"another snow-flurry enveloped me, and it was necessary to walk warily, especially as I now approached the ice-looking snow.","snow, ice",6.0,Spring 1897,,Cairngorms Western Massif,Braeriach,1897.0,Spring,,,"(57.066582, -3.732339)"
"the snow looked very smooth and glazed, as if it were ice.","snow, ice",7.0,Spring 1897,,Cairngorms Western Massif,Braeriach,1897.0,Spring,,,"(57.066582, -3.732339)"
the appearance of its snow-covered ridges and corries was very tempting.,snow-covered,9.0,Spring 1897,,Cairngorms Western Massif,Braeriach,1897.0,Spring,,,"(57.066582, -3.732339)"
I watched a snow-flurry come hurtling across Coire an Lochain.,snow-flurry,7.0,Spring 1897,,Cairngorms Other,Coire an Lochain,1897.0,Spring,,,"(57.09969, -3.6656)"
...the deep drifts of snow were here frozen hard for about an inch from the surface.,"deep, frozen",6.0,19/04/1898,,Cairngorms Western Massif,Pools of Dee,1898.0,,4.0,19.0,"(57.066582, -3.732339)"
the first glimpse of the snow-clad heights we were destined to cross on the morrow.,"snow, clad",8.0,19/04/1898,,Cairngorms Western Massif,Larig Ghru,1898.0,,4.0,19.0,"(57.066582, -3.732339)"
"...we crossed wide stretches of snow of great depth, relieved occasionally by the dark face of a huge projecting rock.","snow, depth",7.0,19/04/1898,,Cairngorms Western Massif,Larig Ghru,1898.0,,4.0,19.0,"(57.066582, -3.732339)"
"We reached the snow-line by noon, toiling through indescribable slush.","snow, slush",3.0,19/04/1898,,Cairngorms Western Massif,Larig Ghru,1898.0,,4.0,19.0,"(57.066582, -3.732339)"
"Patches of soft snow lay over and between the boulders, so there were many involuntary plunges—sometimes to the knees only, oftener to the thighs, and occasionally even to the shoulders.",soft snow,4.0,19/04/1898,,Cairngorms Western Massif,Larig Ghru,1898.0,,4.0,19.0,"(57.066582, -3.732339)"
"...soft snow also overhung some of them, into which we often disappeared as we attempted to cross.",soft snow,4.0,19/04/1898,,Cairngorms Western Massif,Pools of Dee,1898.0,,4.0,19.0,"(57.066582, -3.732339)"
"the thermometer that night fell to 14° P., showing 18° of frost; so had we not found shelter, it would have been a very serious matter, as, moreover, there was a heavy fall of snow during the night.","frost, snow, heavy",8.0,20/04/1898,,Cairngorms Western Massif,Luibeg Cottage,1898.0,,4.0,20.0,"(57.066582, -3.732339)"
The snow had not left off in the morning when we bade farewell to our hospitable entertainers.,snow,5.0,20/04/1898,,Cairngorms Western Massif,Luibeg Cottage,1898.0,,4.0,20.0,"(57.066582, -3.732339)"
"we had seen Nature in a grim Arctic mood, in her clothing of purest white, calling to our minds the noble words of the Benedicite:—""O all ye works of the Lord; O ye Sun and Moon; O ye Winds of God; O ye Fire and Heat; O ye Frost and Cold; O ye Ice and Snow; O ye Mountains and Hills; bless ye the Lord: praise Him and magnify Him forever""!","snow, ice, frost",10.0,20/04/1898,,Cairngorms Other,Cairngorms,1898.0,,4.0,20.0,"(57.09969, -3.6656)"
"and, in particular, the Cairngorms—being covered with snow.",snow,8.0,01/05/1898,,Cairngorms Other,Cairngorms,1898.0,,5.0,1.0,"(57.09969, -3.6656)"
"the peppering of snow on lesser hills, such as the Convals, and the peculiar effect of the Scurrans, with their weathering protruding the general masses of snow, contributed greatly to the picturesqueness of the scene.",snow,8.0,01/05/1898,,Eastern Highlands,Ben Rinnes,1898.0,,5.0,1.0,"(57.194888, -3.281276)"
"it was entirely covered with snow, down almost to its base;",snow,9.0,01/05/1898,,Eastern Highlands,Ben Rinnes,1898.0,,5.0,1.0,"(57.194888, -3.281276)"
"the snow was several feet deep and was soft and not ""bearing"".","snow, soft",6.0,01/05/1898,,Eastern Highlands,Ben Rinnes,1898.0,,5.0,1.0,"(57.194888, -3.281276)"
"at other times thickly covered with snow, and then across the long and comparatively level plateau, rather wet and spongy and coated with soft snow.","snow, soft",7.0,01/05/1898,,Eastern Highlands,Corryhabbie Hill,1898.0,,5.0,1.0,"(57.194888, -3.281276)"
"there was plenty of snow, it is true, but it amounted to little more than a sprinkling—or, let us say, coating—on the grass and heather;","snow, sprinkling, coating",4.0,01/05/1898,confused as to location,Eastern Highlands,Ben Rinnes,1898.0,,5.0,1.0,"(57.194888, -3.281276)"
"...at other times thickly covered with snow, and then across the long and comparatively level plateau, rather wet and spongy...","thickly, covered, snow",6.0,01/05/1898,,Eastern Highlands,Corryhabbie Hill,1898.0,,5.0,1.0,"(57.194888, -3.281276)"
"In the front rank is Stob an t-Sluickd, heavily corniced with snow, standing shoulder to shoulder with Beinn a' Bhuird, whose gloomy precipices overhang Dubh Lochan.","corniced, snow",9.0,-/07/1898,,Beinn a' Bhuird & Ben Avon,Stob an t-Sluickd,1898.0,,7.0,,"(57.081248, -3.505238)"
"the corrie was heavily charged with old snow in cornices overhead and in gullies below; but the path was clear, and within an hour and a half we were in the open glen.","old snow, cornices",7.0,-/07/1898,,Beinn a' Bhuird & Ben Avon,Stob an t-Sluickd,1898.0,,7.0,,"(57.081248, -3.505238)"
"At length Ben Wyvis, stretched out in all his afternoon glory, lay before us, his ample bosom showing patches of snow.","patches, snow",6.0,-/07/1898,,North West Highlands,Ben Wyvis,1898.0,,7.0,,"(57.190786, -5.158042)"
snowballs made with such snow might be carried undiminished to Balmoral or even Windsor,snow,7.0,-/07/1898,,Glenshee Area,An Socach,1898.0,,7.0,,"(56.876858, -3.373544)"
